,City,Country,Date_Checked,Latitude,Longitude,Temp(K),MaxTemp(K),Humidity(%),Cloudiness(%),Wind_Speed(meter/sec),Temp(F),MaxTemp(F),Wind_Speed(mph)
587,Port Augusta,AU,1553631682.0,-32.49,137.76,287.78,289.15,77.0,0.0,3.6,58,61,8
588,Grand-Santi,GF,1553631854.0,4.27,-54.38,299.688,299.688,84.0,80.0,1.41,80,80,3
589,Te Anau,NZ,1553631854.0,-45.41,167.72,282.738,282.738,95.0,64.0,4.46,49,49,10
590,Yaqui,MX,1553629200.0,27.37,-110.17,302.15,302.15,30.0,75.0,3.1,84,84,7
591,Vernon,CA,1553631329.0,50.27,-119.27,283.33,284.26,53.0,20.0,1.5,50,52,3
592,Warrington,GB,1553631610.0,53.39,-2.59,281.13,282.59,70.0,75.0,3.6,46,49,8
593,Yaan,NG,1553631857.0,7.38,8.57,301.438,301.438,56.0,12.0,1.16,83,83,3
594,Nouadhibou,MR,1553626800.0,20.93,-17.03,293.15,293.15,77.0,20.0,5.7,68,68,13
595,Rorvik,NO,1553631602.0,64.86,11.24,274.35,275.15,100.0,75.0,4.1,34,36,9
596,Poum,MK,1553631739.0,41.28,20.71,275.988,275.988,65.0,56.0,0.71,37,37,2
597,Monywa,MM,1553631858.0,22.12,95.13,293.038,293.038,90.0,0.0,3.46,68,68,8
599,Nyurba,RU,1553631858.0,63.29,118.35,255.788,255.788,61.0,44.0,2.51,1,1,6
600,Osmena,PH,1553631858.0,12.17,124.59,297.338,297.338,100.0,80.0,3.11,76,76,7
601,Nha Trang,VN,1553628600.0,12.24,109.19,300.15,300.15,83.0,40.0,2.1,81,81,5
602,Bilibino,RU,1553631669.0,68.06,166.44,263.438,263.438,81.0,88.0,1.16,15,15,3
603,Birin,SY,1553631859.0,35.01,36.67,281.238,281.238,87.0,20.0,3.06,47,47,7
604,Camacha,PT,1553630400.0,33.08,-16.33,290.72,291.15,72.0,40.0,10.8,64,64,24
605,Avera,US,1553631732.0,33.19,-82.53,289.64,291.15,67.0,90.0,5.1,62,64,11
606,Thinadhoo,MV,1553631636.0,0.53,72.93,301.338,301.338,100.0,44.0,3.56,83,83,8
607,Saint-Francois,FR,1553631364.0,46.42,3.91,277.62,279.15,60.0,0.0,3.6,40,43,8
608,Nevelsk,RU,1553628600.0,46.67,141.86,269.15,269.15,100.0,75.0,14.0,25,25,31
609,Toucheng,TW,1553631700.0,24.86,121.82,291.67,292.59,88.0,75.0,0.5,65,67,1
610,Angoram,PG,1553631860.0,-4.06,144.07,297.538,297.538,96.0,24.0,0.61,76,76,1
611,Parker,US,1553631642.0,39.52,-104.76,293.1,296.48,9.0,75.0,2.1,68,74,5
